"temperature_2m","windspeed_100m","sin_wd_100","Power"
24.9,8.75,0.104528463267654,0.7697
25.1,9.38,0.121869343405148,0.8287
26.1,8.64,0.0871557427476582,0.8877
26.8,9.65,0.104528463267654,0.9142
28,10.06,0.104528463267654,0.9083
28.6,9.87,0.121869343405148,0.9023
29.4,10.22,0.0697564737441255,0.8964
30.4,11.43,0.156434465040231,0.8905
31.1,12.63,0.139173100960065,0.8845
32.1,13.83,0.139173100960065,0.8786
33.7,12.99,0.17364817766693,0.8797
35.7,12.9,1.22460635382238e-16,0.888
37.8,14.55,-0.0871557427476579,0.8962
39.4,15.42,-0.121869343405147,0.9044
41.1,15.95,-0.139173100960066,0.9127
43,16.39,-0.156434465040231,0.9209
43.9,17.59,-0.258819045102521,0.9228
45.3,17.48,-0.390731128489274,0.9183
46,16.28,-0.601815023152048,0.9138
41.2,16.29,-0.874619707139396,0.9094
36.5,16.67,-0.939692620785908,0.9049
33.2,16.86,-0.965925826289068,0.9005
32.3,15.87,-0.965925826289068,0.896
31.4,15.08,-0.945518575599317,0.8915
29.7,15.07,-0.961261695938319,0.8871
27.5,13.75,-0.974370064785235,0.8826
24.9,11.96,-0.970295726275996,0.8782
23.1,11.06,-0.965925826289068,0.8652
24.8,10.56,-0.945518575599317,0.8439
25.6,9,-0.913545457642601,0.8225
26.5,7.5,-0.798635510047293,0.8011
30.2,6.17,-0.453990499739547,0.7797
33.4,7.21,-0.0523359562429436,0.7583
34.4,8.78,-0.139173100960066,0.7369
35.5,8.1,-0.0174524064372836,0.7431
37.1,9.73,-0.0871557427476579,0.7767
39.6,10.75,-0.309016994374947,0.8104
41.5,11.26,-0.309016994374947,0.844
42,11.25,-0.241921895599668,0.8777
43.4,12.08,-0.17364817766693,0.9113
42.9,11.45,-0.20791169081776,0.9128
44.3,9.39,-0.325568154457157,0.8823
42.8,4.64,-0.992546151641322,0.8517
39.7,5.6,0.0174524064372835,0.8211
37.9,5.28,0.453990499739547,0.7906
35.2,7.96,0.422618261740699,0.76
33,9.78,-0.275637355816999,0.7294
30,8.9,-2.44921270764475e-16,0.6989
28.6,8.24,-0.17364817766693,0.6683
28.2,6.64,-0.104528463267653,0.6377
28.1,5.92,-0.0871557427476583,0.6072
27.8,5.72,-0.0871557427476583,0.555
28.3,6.01,0.0523359562429438,0.4814
28.4,3.45,0.292371704722737,0.4077
28.6,4.21,-0.309016994374948,0.3341
29,3.88,-0.20791169081776,0.2604
28.7,3.82,-0.104528463267653,0.1867
28.9,4.08,-0.515038074910054,0.1131
28.5,4.3,-0.587785252292473,0.0832
28,5.3,-0.694658370458998,0.097
27.2,5.45,-0.73135370161917,0.1108
26.2,4.88,-0.819152044288992,0.1246
25,5.07,-0.965925826289068,0.1384
22.8,6.58,-0.987688340595138,0.1522
23.5,7.01,-0.998629534754574,0.177
22.6,7.51,-0.984807753012208,0.2128
22.5,8.39,-0.965925826289068,0.2487
23.6,10.01,-0.999390827019096,0.2845
22.2,10.43,-0.997564050259824,0.3204
20,9.69,-0.981627183447664,0.3562
