"temperature_2m","windspeed_100m","sin_wd_100","Power"
18.6,0.73,-0.961261695938319,0.6872
18,4.38,0.573576436351046,0.6885
18,7.78,0.694658370458997,0.6898
18.8,7.32,0.629320391049837,0.6911
19,7.44,0.587785252292473,0.6924
20.9,7.99,0.529919264233205,0.6937
23,8.78,0.390731128489274,0.6942
25.5,7.3,-0.224951054343865,0.6937
24.2,2.82,-0.956304755963035,0.6933
19.8,8.81,0.0523359562429438,0.6928
14.5,9.45,0.104528463267653,0.6924
13.4,10.61,0.0523359562429438,0.6919
13.5,9.55,0.104528463267653,0.6915
14.5,10.69,0.139173100960065,0.6805
13.2,10.21,0.034899496702501,0.6591
14.7,10.05,0.104528463267653,0.6377
14.4,9.21,0.034899496702501,0.6162
13.7,9.04,0.0871557427476582,0.5948
11.3,8.71,0.034899496702501,0.5733
8.9,8,-2.44921270764475e-16,0.5395
8.7,8.32,0.0697564737441253,0.4931
7.3,8.11,0.034899496702501,0.4468
8.1,7.04,-0.190808995376545,0.4005
7.5,7.52,-0.0871557427476583,0.3541
7.2,6.81,0.0523359562429438,0.3078
6.5,8.02,0.0697564737441253,0.2615
6.6,6.14,0.121869343405147,0.2152
6.9,5.32,0.0871557427476582,0.1688
7.2,5.51,-0.0523359562429444,0.1225
7.3,2.6,0.034899496702501,0.0762
7.1,3.14,-0.601815023152048,0.0818
7.5,4.08,-0.292371704722737,0.1394
8.1,4,-0.529919264233205,0.197
8.5,3.83,-0.754709580222772,0.2546
9.6,4.41,-0.838670567945424,0.3122
11.8,5.64,-0.891006524188368,0.3698
14.4,6.4,-0.90630778703665,0.4274
16.6,6.49,-0.90630778703665,0.4666
19,6.64,-0.951056516295154,0.4872
20.7,7.03,-0.913545457642601,0.5078
21.3,7.87,-0.766044443118978,0.5284
20.2,7.84,-0.615661475325658,0.5491
18.3,7.58,-0.515038074910054,0.5697
17.3,6.91,-0.515038074910054,0.5568
16.2,6.58,-0.156434465040231,0.5103
13.4,7.01,0.0523359562429438,0.4639
10.9,5.5,-2.44921270764475e-16,0.4174
9,5.4,0.0174524064372835,0.371
7.9,5.1,0.190808995376545,0.3246
6.4,6.42,0.309016994374947,0.2781
4.8,6.22,0.469471562785891,0.2317
3.6,5.58,0.544639035015027,0.1852
2.7,5.6,0.656059028990507,0.1388
2.6,4.67,0.681998360062498,0.0923
3,4.04,0.669130606358858,0.0726
3.1,4.46,0.743144825477394,0.0797
3.7,4.2,0.788010753606722,0.0867
4.3,3.45,0.866025403784439,0.0937
5.2,3.32,0.992546151641322,0.1007
6.6,4.01,0.997564050259824,0.1077
8.3,4,0.999847695156391,0.1147
10.5,3.82,0.994521895368273,0.1115
12.5,3.47,0.978147600733806,0.0981
14.1,3.24,0.987688340595138,0.0847
15.4,3.52,0.992546151641322,0.0712
15.7,3.77,0.981627183447664,0.0578
14.2,3.91,0.998629534754574,0.0443
11.2,5.31,0.998629534754574,0.0359
12.2,5.41,0.978147600733806,0.0325
11.6,5.52,0.927183854566787,0.0291
11.9,5.44,0.809016994374947,0.0257
12,4.83,0.766044443118978,0.0222
12.1,4.4,0.629320391049837,0.0188
12.1,3.77,0.529919264233205,0.0154
14.5,2.79,0.3583679495453,0.012
15.3,2.7,-0.0348994967025009,0.0086
16.3,2.57,-0.224951054343865,0.0051
14,2.87,-0.484809620246337,0.0017
12.2,3.4,-0.681998360062498,0
9.6,4.21,-0.951056516295154,0
10.2,3.96,-0.984807753012208,0
10,3.65,-0.987688340595138,1e-04
14.7,4.08,-0.981627183447664,1e-04
19.6,3.18,-0.974370064785235,1e-04
23.8,3.28,-0.978147600733806,1e-04
27.3,3.45,-0.984807753012208,0.0017
30.4,3.24,-0.987688340595138,0.0048
32.2,2.93,-0.99026806874157,0.0079
32.9,2.91,-0.997564050259824,0.011
32.4,2.69,-0.965925826289068,0.0142
27.1,2.55,-0.898794046299167,0.0173
28.6,1.9,-0.998629534754574,0.0204
27.3,1.9,-0.951056516295154,0.0235
23.7,1.5,-1,0.0266
21.1,1.77,-0.961261695938319,0.0298
20.6,1.8,-0.945518575599317,0.0329
20.3,2.62,-0.766044443118978,0.036
18.9,2.3,-0.829037572555042,0.0391
20.8,1.3,-0.92050485345244,0.0422
21.1,1.17,-0.342020143325669,0.0454
19.7,2.2,0.0523359562429438,0.0485
19,2.53,0.156434465040231,0.0516
17.7,3.41,0.0871557427476582,0.0547
14.7,3.57,0.190808995376545,0.0578
17.3,5.2,0.190808995376545,0.061
17.9,6.28,0.156434465040231,0.0641
23.2,6.26,0.139173100960065,0.0672
28.7,4.3,1.22460635382238e-16,0.0703
32.6,4.81,-0.0697564737441253,0.0734
35.4,3.7,-0.0348994967025009,0.0789
36.8,3.4,0.0348994967025011,0.0868
